word,text_index,tag,freq,lemma,is_new_paragraph,sentence_number,completed_words
Hubo,1,VMIS3S0,685,haber,1,1,[amigo nada había un quien lni stella era hola sujeto el]
un,1,DI0MS0,60280,uno,0,1,[una un una pasado alguien un tormenta un una prisa una una un una parajes soñado ha ninguno un una un una una un muchos]
tiempo,1,NCMS000,4148,tiempo,0,1,[día día día día año fogonazo niño hombre caso día error día príncipe amanecer árbol día día día tiempo tiempo día tiempo tiempo solo en]
en,1,SPS00,116148,en,0,1,[que donde que en que en feliz que que malo en que que que en en de en]
que,1,PR0CN000,95340,que,0,1,
yo,1,PP1CSN00,7844,yo,0,1,
pensaba,1,VMII3S0,323,pensar,0,1,
mucho,1,RG,2015,mucho,0,1,
en,1,SPS00,116148,en,0,1,
los,1,DA0MP0,79125,el,0,1,
axolotl,1,NCMS000,1,axolotl,0,1,[niños sueños miedos otros otros perros pájaros recuerdos animales recuerdos amigos animales veranos hijos misterios libros pájaros problemas amigos jardines problemas]
Iba,1,VMII3S0,1762,ir,0,2,
a,1,SPS00,91082,a,0,2,
verlos,1,VMN0000,50,ver,0,2,
al,1,SPS00,24923,a,0,2,[siempre jugar siempre crecer regularmente seguido siempre seguido seguido siempre siempre nadar de todos a todos todos]
acuario,1,NCMS000,9,acuario,0,2,[mar cine acuario acuario parque zoológico acuario zoológico parque mexico acuario acuario acuario parque museo lugar museo zoológico cine zoológico río tiempo acuario]
del,1,SPS00,49116,de,0,2,[de siempre seguido hola y diariamente frecuentemente donde solo de que diariamente frecuentemente estatal diariamente marino cuando]
Jardín,1,NCMS000,340,jardin,0,2,
des,1,NCFP000,1,d,0,2,
Plantes,1,NCMP000,1,plante,0,2,[de japones pues pues pintado pues pues plantes de plantes  rose tulleries den berlín infants de ordenado y pues parís arts animals plantes parís]
y,1,CC,140290,y,0,2,
me,1,PP1CS000,18401,me,0,2,
quedaba,1,VMII3S0,445,quedar,0,2,[quedaba deleitaba emocionaba reía pasaba obnubilaba quedaba imaginaba inquietaba tenía gustaba encanto encantaba pareció quedaba quedaba quedaba sentí quedaba quedaba quedaba gustaba]
horas,1,NCFP000,1602,hora,0,2,[anonadado atónito mirándolos cerca mirándolos viéndolos atónito horas allí asombrado horas horas deslumbrada perdido horas observándolos observándolos por mirándolos]
mirándolos,1,VMG0000,4,mirar,0,2,[contemplándolos mirándolos mirándolos mirando contemplándolos esperando mirándolos mirando contemplándolos mirando viéndolos mirando observándolos mirándolos mirándolo observándolos mirando mirándolos observando viéndolos mirando mirando mirando mirando]
observando,1,VMG0000,77,observar,0,2,[podía absorto observándolos fijo ellos inmóviles perplejo siempre pensando contemplaba siempre detalladamente embobado pude pensando me eran observando observando solo nadando]
su,1,DP3CS0,39487,su,0,2,
inmovilidad,1,NCFS000,42,inmovilidad,0,2,[color tranquilidad cola morfología forma comportamiento forma inmovilidad forma fisonomía comportamiento nado comportamiento piel majestuosidad]
sus,1,DP3CP0,16974,su,0,2,
oscuros,1,AQ0MP0,110,oscuro,0,2,
movimientos,1,NCMP000,366,movimiento,0,2,
Ahora,1,RG,4924,ahora,0,3,[cada sus aquel ahora ahora circulares siempre atrás magníficos entonces eran los axolotl cuando un rutinarios los siempre todo ahora]
soy,1,VSIP1S0,981,ser,0,3,[yo no no pienso no no solo no no ya no pienso imposible no cuando ya]
un,1,DI0MS0,60280,uno,0,3,[ciego tranquilo axolotl fanático distinto yo un distinto un axolotl biólogo indiferente un reincidente Testio]
axolotl,1,NCMS000,1,axolotl,0,3,[axolotl investigador axolotl axolotl axolotl axolotl adulto profesor solitario hombre gran fanático axolotl]
El,1,DA0MS0,139088,el,1,4,
azar,1,NCMS000,106,azar,0,4,
me,1,PP1CS000,18401,me,0,4,
llevó,1,VMIS3S0,402,llevar,0,4,
hasta,1,SPS00,6422,hasta,0,4,
ellos,1,PP3MP000,3172,ellos,0,4,
una,1,DI0FS0,43026,uno,0,4,[ese debido para por aquel pero porque pensando un absolutamente rápidamente por y y por y cuando un]
